回号,抽選日,n1,n2,n3,n4,n5,n6,bonus,p1_cnt,p2_cnt,p3_cnt,p4_cnt,p5_cnt,p1_yen,p2_yen,p3_yen,p4_yen,p5_yen,carry
2098,2026/04/30,1,6,15,18,19,42,24,2,18,254,14486,235925,536215400,4776600,365500,6700,1000,0
2097,2026/04/27,3,20,24,27,34,42,37,0,4,261,12217,202554,0,21894400,362300,8100,1000,785838686
2096,2026/04/23,8,15,18,21,33,43,38,0,6,239,12495,190942,0,12574100,340900,6800,1000,493922051
2095,2026/04/20,13,20,22,23,28,30,29,0,5,175,8524,153085,0,14547300,448800,9700,1000,242447428
2094,2026/04/16,3,4,7,11,24,30,16,5,18,710,25626,316889,200321600,4168200,114100,3300,1000,0
2093,2026/04/13,2,10,21,26,29,38,12,0,16,329,14455,224282,0,5077800,266600,6400,1000,751519994
2092,2026/04/09,8,13,27,36,37,43,3,0,6,264,11718,181007,0,12644000,310300,7300,1000,480712171
2091,2026/04/06,6,16,21,25,28,43,9,0,2,187,9022,160010,0,34177100,394700,8600,1000,227840393
2090,2026/04/02,2,3,6,9,24,36,5,1,8,476,19544,251566,449917100,7992100,145000,3700,1000,0
2089,2026/03/30,9,16,18,32,37,43,13,0,11,162,9049,151757,0,6458300,473500,8900,1000,236800230
2088,2026/03/26,8,16,18,27,37,39,29,3,11,282,12626,184969,85315200,6129800,258200,6000,1000,0
2087,2026/03/23,7,10,15,18,26,39,13,1,9,302,14390,216634,600000000,8467700,272500,6000,1000,31193795
2086,2026/03/19,4,11,19,28,39,40,6,0,15,296,12723,188055,0,4915400,269000,6600,1000,377168743
2085,2026/03/16,6,8,13,26,35,43,14,1,3,276,12985,208313,600000000,26889600,315600,7000,1000,131403738
2084,2026/03/12,8,17,18,19,30,39,9,0,8,290,11789,183453,0,9460500,281800,7300,1000,462516068
2083,2026/03/09,8,10,13,17,26,29,43,0,7,302,13544,199383,0,9010700,225500,5300,1000,210243220
2082,2026/03/05,5,11,14,19,25,40,17,2,6,293,14596,232454,266807600,14329900,316900,6700,1000,0
2081,2026/03/02,14,31,32,37,41,42,22,0,3,154,8262,140455,0,24703300,519700,10200,1000,247024989
2080,2026/02/26,6,12,30,36,37,38,8,1,10,241,13400,198415,455170700,7439800,333300,6300,1000,0
2079,2026/02/23,5,11,15,17,24,39,31,0,16,311,13225,195301,0,3884800,215800,5300,1000,207185202
2078,2026/02/19,1,10,20,24,30,35,41,1,6,245,12042,181113,495292100,12821200,339000,7200,1000,0
2077,2026/02/16,17,18,23,24,26,43,10,0,4,155,9258,161757,0,17916200,499300,8800,1000,238876055
2076,2026/02/12,1,9,20,22,28,41,30,5,7,579,14943,195735,94842000,10800100,141000,5700,1000,0
2075,2026/02/09,7,10,14,16,35,37,11,0,2,177,10275,169978,0,33333300,406700,7400,1000,222215112
2074,2026/02/05,5,6,16,26,27,36,11,4,18,649,19672,263713,281563500,4987900,149400,5200,1000,0
2073,2026/02/02,2,12,14,24,26,29,8,0,13,378,17612,270616,0,6667900,247600,5600,1000,826984918
2072,2026/01/29,8,18,24,36,40,42,43,0,6,306,12711,188758,0,13209300,279700,7100,1000,538049454
2071,2026/01/26,15,24,29,32,33,35,14,0,4,253,11221,177707,0,18897900,322600,7600,1000,273871384
2070,2026/01/22,6,10,25,30,34,36,12,1,9,151,8966,156035,200000000,7397100,476100,8400,1000,21907185
2069,2026/01/19,6,17,23,27,33,35,4,9,11,361,15509,241214,86819200,8097000,266400,6500,1000,0
2068,2026/01/15,2,10,13,14,29,33,32,0,6,378,14922,223597,0,13131100,225000,6000,1000,484491749
2067,2026/01/12,3,4,12,15,32,42,31,0,6,195,10677,185401,0,11094200,368600,7100,1000,221877669
2066,2026/01/08,8,28,30,32,37,38,5,1,4,156,10434,185431,542887200,21275800,589100,9300,1000,0
2065,2026/01/05,6,18,21,31,37,40,3,0,5,215,10741,178338,0,15198300,381700,8000,1000,259218384
2064,2025/12/29,2,7,24,37,39,41,3,1,12,264,14217,227361,600000000,7315700,359100,7000,1000,5920512
2063,2025/12/25,4,28,29,30,38,42,15,0,6,144,9010,162075,0,13231600,595400,10000,1000,313298859
2062,2025/12/22,1,9,18,24,35,42,8,1,11,292,12385,192461,200000000,6782200,275900,6800,1000,48674501
2061,2025/12/18,5,6,13,21,33,34,40,1,3,319,11939,182215,276436400,23316400,236800,6600,1000,0
2060,2025/12/15,8,16,22,40,41,42,10,1,7,164,8955,147543,200000000,10426600,480600,9300,1000,43279462
2059,2025/12/11,2,13,26,28,38,43,3,2,6,193,10577,161791,110548300,11055100,371100,7100,1000,0
2058,2025/12/08,9,12,14,16,19,42,18,2,4,171,9488,172385,115587500,17338600,438000,8300,1000,0
2057,2025/12/04,5,7,21,22,38,41,24,3,7,263,13310,207944,217303700,11373600,326900,6800,1000,0
2056,2025/12/01,3,7,15,17,19,30,38,1,6,408,17973,262734,600000000,14641600,232500,5500,1000,386535047
2055,2025/11/27,11,12,14,17,21,26,2,0,9,258,13549,227553,0,8790700,331100,6600,1000,693711520
2054,2025/11/24,1,14,27,30,33,37,23,1,1,239,12213,203450,600000000,91661400,414100,8500,1000,429996617
2053,2025/11/20,20,28,31,35,37,41,13,0,4,145,9252,162769,0,21547200,641900,10600,1000,724468616
2052,2025/11/17,1,3,18,25,30,34,10,0,5,240,12225,195372,0,15641200,351900,7300,1000,437181358
2051,2025/11/13,3,15,27,28,31,39,20,2,15,481,17971,258708,600000000,6459800,217500,6100,1000,176502270
2050,2025/11/10,6,11,15,21,25,32,5,0,10,309,15774,248843,0,9002800,314600,6500,1000,1053519923
2049,2025/11/06,10,24,25,39,40,42,19,0,9,190,10720,179593,0,9503600,486100,9100,1000,753434862
2048,2025/11/03,8,13,18,32,37,43,27,0,7,162,10649,175084,0,11040800,515200,8200,1000,468334806
2047,2025/10/30,10,11,16,19,37,39,27,0,3,165,8955,155144,0,21072900,413700,8000,1000,210723088
2046,2025/10/27,2,5,10,22,25,38,14,3,21,470,16168,209575,65800600,2820100,136000,4100,1000,0
2045,2025/10/23,1,4,7,12,16,28,19,3,14,596,21477,272776,239377600,5008600,127000,3700,1000,0
2044,2025/10/20,1,6,11,26,33,40,14,0,6,291,13818,212520,0,13035600,290200,6400,1000,484403623
2043,2025/10/16,11,19,22,34,40,42,31,0,5,183,8573,142617,0,13422300,396000,8900,1000,223699102
2042,2025/10/13,9,14,29,38,41,43,12,1,5,179,9622,157062,470308700,15648900,472000,9200,1000,0
2041,2025/10/09,4,19,22,24,32,38,11,0,13,233,10452,156707,0,4834800,291300,6800,1000,209502018
2040,2025/10/06,7,12,14,15,24,30,32,1,8,301,14739,229684,474998900,9735400,279400,6000,1000,0
2039,2025/10/02,2,15,25,27,38,42,22,0,11,271,11331,169403,0,5874600,257500,6500,1000,215395177
