回号,抽選日,n1,n2,n3,n4,n5,n6,n7,bonus1,bonus2,p1_cnt,p2_cnt,p3_cnt,p4_cnt,p5_cnt,p6_cnt,p1_yen,p2_yen,p3_yen,p4_yen,p5_yen,p6_yen,carry
674,2026/04/24,1,6,7,9,12,22,26,8,14,1,19,260,10138,130525,206937,955304700,3189700,268500,4100,1000,800,0
673,2026/04/17,6,9,10,12,16,24,32,17,19,0,6,116,6477,91357,148579,0,8471200,504700,5400,1300,900,433409850
672,2026/04/10,7,11,15,16,17,24,33,6,9,1,10,126,7165,107970,187855,987027000,6250000,571300,6000,1300,900,0
671,2026/04/03,7,13,16,22,28,33,36,2,25,2,19,263,10104,134547,223323,1200000000,4111800,342100,5300,1300,1000,453007035
670,2026/03/27,3,4,9,10,18,21,37,15,23,0,16,147,7911,125711,217487,0,4620300,579200,6500,1300,900,2147483647
669,2026/03/20,3,5,6,7,9,13,16,11,23,2,22,222,10209,148325,263260,1200000000,3778000,431200,5600,1300,900,1558856305
668,2026/03/13,1,8,11,14,18,22,29,19,35,1,16,234,11156,166415,264125,1200000000,5588600,440100,5500,1200,900,2147483647
667,2026/03/06,9,13,20,22,28,29,33,21,23,0,14,189,9873,153158,246992,0,6601300,563200,6500,1400,1000,2147483647
666,2026/02/27,2,17,18,22,23,25,33,16,34,0,5,185,8046,130221,214363,0,15876200,494200,6800,1400,1000,2147483647
665,2026/02/20,6,8,14,19,22,25,35,12,17,0,9,184,7883,119040,214440,0,8099800,456300,6400,1400,900,2147483647
664,2026/02/13,3,6,8,14,21,22,31,17,37,1,19,168,8897,137445,224969,1200000000,4269900,556200,6300,1300,1000,1614067975
663,2026/02/06,4,6,10,11,13,17,23,25,32,0,9,193,8470,134057,215089,0,8294400,445500,6100,1300,1000,2123132130
662,2026/01/30,4,14,15,21,22,24,37,5,20,0,5,115,5940,103770,171054,0,13637200,682900,8000,1500,1100,1505420275
661,2026/01/23,7,12,17,22,31,34,35,20,32,0,5,125,5996,102827,153889,0,12032000,554300,7000,1300,1100,929684620
660,2026/01/16,4,6,12,13,16,17,31,14,20,0,4,98,4635,81348,123996,0,12451900,585400,7500,1400,1100,421366875
659,2026/01/09,2,8,9,14,27,34,36,5,18,1,12,162,8394,124990,208850,1052412400,5802800,495100,5700,1300,900,0
658,2025/12/26,10,12,16,18,19,22,37,11,20,0,5,101,4749,81174,142116,0,11109000,633400,8100,1600,1100,463117105
657,2025/12/19,9,11,16,23,27,29,32,6,24,2,16,234,9448,132636,211905,1014653200,4631900,364800,5400,1300,1000,0
656,2025/12/12,1,4,6,20,30,34,37,14,25,0,8,101,5376,88924,163715,0,8137600,742400,8400,1700,1100,1413567000
655,2025/12/05,4,5,12,13,24,26,33,3,14,0,11,188,7853,111582,165047,0,5065500,341400,4900,1100,900,866671845
654,2025/11/28,3,12,25,29,30,32,33,28,31,0,1,78,4451,75792,122540,0,46473000,686300,7200,1400,1100,386161670
653,2025/11/21,6,7,12,25,26,30,33,13,15,2,10,150,6217,96296,165734,443721800,5638000,432900,6300,1300,900,0
652,2025/11/14,1,16,21,26,27,30,35,6,37,0,3,61,3488,62068,116684,0,15699300,889300,9400,1700,1100,401325585
651,2025/11/07,2,13,19,20,24,26,35,29,36,2,5,169,8046,108788,184493,1002473400,14281700,486700,6100,1500,1100,0
650,2025/10/31,1,8,10,14,25,33,35,12,21,0,9,131,6089,102491,187310,0,7310100,578500,7500,1500,1000,1407387900
649,2025/10/24,12,22,23,26,33,35,37,2,21,0,6,86,4994,82690,142180,0,9344500,750900,7800,1500,1100,861008665
648,2025/10/17,3,17,19,24,28,29,35,7,13,0,5,98,4824,76143,144616,0,9219600,541800,6600,1400,900,385202370
